course_name,course_code,unit_name,unit_code,unit_category,unit_zone,year
Master of Data Science,C000082,Web Technology,COMP6110,Elective units,Foundation Zone,2024
Master of Data Science,C000082,"Graphics, Multivariate Methods and Data Mining",STAT6102,Elective units,Foundation Zone,2024
Master of Data Science,C000082,Management of IT Systems and Projects,COMP6770,Elective units,Foundation Zone,2024
Master of Data Science,C000082,Introductory Statistics,STAT6170,Elective units,Foundation Zone,2024
Master of Data Science,C000082,Foundations of Computer Programming,COMP6010,Elective units,Foundation Zone,2024
Master of Data Science,C000082,Database Systems,COMP6350,Elective units,Foundation Zone,2024
Master of Data Science,C000082,Enterprise Systems Integration,COMP6760,Elective units,Foundation Zone,2024
Master of Data Science,C000082,Applied Statistics,STAT6180,Elective units,Foundation Zone,2024
Master of Data Science,C000082,Statistical Inference,STAT6110,Essential Units,Foundation Zone,2024
Master of Data Science,C000082,Data Science,COMP6200,Essential Units,Foundation Zone,2024
Master of Data Science,C000082,Linear Models,STAT6175,Essential Units,Foundation Zone,2024
Master of Data Science,C000082,Big Data,COMP6210,Essential Units,Foundation Zone,2024
Master of Data Science,C000082,Artificial Intelligence for Text and Vision,COMP6420,Essential Units,Foundation Zone,2024
Master of Data Science,C000082,Applications of Data Science,COMP8240,Elective units,Core Zone,2024
Master of Data Science,C000082,Automated Decision Making in Business,COMP8440,Elective units,Core Zone,2024
Master of Data Science,C000082,Bayesian Data Analysis,STAT8150,Elective units,Core Zone,2024
Master of Data Science,C000082,Mining Unstructured Data,COMP8230,Elective units,Core Zone,2024
Master of Data Science,C000082,Modern Computational Statistical Methods,STAT8178,Elective units,Core Zone,2024
Master of Data Science,C000082,Statistical Graphics,STAT8123,Elective units,Core Zone,2024
Master of Data Science,C000082,Big Data Technologies,COMP8210,Essential units,Core Zone,2024
Master of Data Science,C000082,Major Project,COMP8851,Essential units,Core Zone,2024
Master of Data Science,C000082,Advanced Machine Learning,COMP8221,Essential units,Core Zone,2024
Master of Data Science,C000082,Generalized Linear Models,STAT8111,Essential units,Core Zone,2024
Master of Data Science,C000082,Multivariate Analysis,STAT8121,Essential units,Core Zone,2024
Bachelor of Laws,C000132,PACE: Clinics and Projects,LAWS5078,Elective units,Core Zone,2024
