course_name,course_type,course_code,course_url
Master of Data Science,Course,C000082,https://www.mq.edu.au/study/find-a-course/courses/master-of-data-science
Bachelor of Laws,Course,C000132,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-laws
Master of Laws,Course,C000184,https://www.mq.edu.au/study/find-a-course/courses/master-of-laws
Master of Planning,Course,C000033,https://www.mq.edu.au/study/find-a-course/courses/master-of-planning
Major in Data Science,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/data-science
Bachelor of Science,Course,C000352,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-science
Bachelor of Music,Course,C000091,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-music
Major in Biology,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/biology
Bachelor of Business,Course,C000389,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-business
Major in English,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/english
Specialisation in Finance,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/specialisation/finance
Specialisation in FinTech,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/specialisation/fintech
Bachelor of Security Studies,Course,C000015,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-security-studies
Master of Banking and Finance,Course,C000101,https://www.mq.edu.au/study/find-a-course/courses/master-of-banking-and-finance
"Major in Radio, Podcasting, and Audio Media",Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/radio-podcasting-and-audio-media
Graduate Diploma of Applied Finance,Course,C000152,https://www.mq.edu.au/study/find-a-course/courses/graduate-diploma-of-applied-finance
Major in Neuroscience,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/neuroscience
Master of Engineering Management,Course,C000177,https://www.mq.edu.au/study/find-a-course/courses/master-of-engineering-management
Graduate Certificate of Finance,Course,C000145,https://www.mq.edu.au/study/find-a-course/courses/graduate-certificate-of-finance
Bachelor of Environment and Bachelor of Laws,Double Degree,D000047,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-environment-and-bachelor-of-laws
Bachelor of Arts and Bachelor of Education (Primary),Course,D000006,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-arts-and-bachelor-of-education-primary
Master of Indigenous Education,Course,C000068,https://www.mq.edu.au/study/find-a-course/courses/master-of-indigenous-education
Major in Finance,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/finance
Master of Professional Accounting,Course,C000083,https://www.mq.edu.au/study/find-a-course/courses/master-of-professional-accounting
Major in Indigenous Studies,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/indigenous-studies
Major in Interactive Design,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/interactive-design
Master of Commerce and Master of Marketing,Double Degree,D000136,https://www.mq.edu.au/study/find-a-course/courses/master-of-commerce-and-master-of-marketing
Master of Finance and Master of Accounting,Double Degree,D003182,https://www.mq.edu.au/study/find-a-course/courses/master-of-finance-and-master-of-accounting
Master of Finance and Master of Management,Double Degree,D000999,https://www.mq.edu.au/study/find-a-course/courses/master-of-finance-and-master-of-management
Master of Applied Economics,Course,C000062,https://www.mq.edu.au/study/find-a-course/courses/master-of-applied-economics
Master of Inclusive and Special Education,Course,C000354,https://www.mq.edu.au/study/find-a-course/courses/master-of-inclusive-and-special-education
Bachelor of Chiropractic Science,Course,C000005,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-chiropractic-science
Bachelor of Media and Communications,Course,C000030,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-media-and-communications
Bachelor of Security Studies and Master of Criminology,Course,C000210,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-security-studies-and-master-of-criminology
Master of International Trade and Commerce Law,Course,C000183,https://www.mq.edu.au/study/find-a-course/courses/master-of-international-trade-and-commerce-law
Graduate Certificate of Environment,Course,C000072,https://www.mq.edu.au/study/find-a-course/courses/graduate-certificate-of-environment
Bachelor of Psychology and Bachelor of Laws,Double Degree,D000054,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-psychology-and-bachelor-of-laws
Bachelor of Music and Bachelor of Social Science,Double Degree,D006341,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-music-and-bachelor-of-social-science
Bachelor of Security Studies and Bachelor of Laws,Double Degree,D000031,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-security-studies-and-bachelor-of-laws
Master of Clinical Psychology,Course,C000031,https://www.mq.edu.au/study/find-a-course/courses/master-of-clinical-psychology
Master of Actuarial Practice,Course,C000163,https://www.mq.edu.au/study/find-a-course/courses/master-of-actuarial-practice
Master of Applied Statistics,Course,C000081,https://www.mq.edu.au/study/find-a-course/courses/master-of-applied-statistics
Master of Business Analytics,Course,C000180,https://www.mq.edu.au/study/find-a-course/courses/master-of-business-analytics
Master of Clinical Audiology,Course,C000099,https://www.mq.edu.au/study/find-a-course/courses/master-of-clinical-audiology
Master of Management and Master of Marketing,Double Degree,D001000,https://www.mq.edu.au/study/find-a-course/courses/master-of-management-and-master-of-marketing
Bachelor of Medical Sciences and Bachelor of Music,Double Degree,D000800,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-medical-sciences-and-bachelor-of-music
Bachelor of Business Analytics and Bachelor of Laws,Double Degree,D000678,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-business-analytics-and-bachelor-of-laws
Diploma of Game Design and Development,Course,C000379,https://www.mq.edu.au/study/find-a-course/courses/diploma-of-game-design-and-development
Undergraduate Certificate of Business,Course,C000365,https://www.mq.edu.au/study/find-a-course/courses/undergraduate-certificate-of-business
Undergraduate Certificate of Commerce,Course,C000376,https://www.mq.edu.au/study/find-a-course/courses/undergraduate-certificate-of-commerce
Master of Information Technology in Networking,Course,C000126,https://www.mq.edu.au/study/find-a-course/courses/master-of-information-technology-in-networking
Bachelor of Archaeology and Bachelor of Laws,Double Degree,D000676,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-archaeology-and-bachelor-of-laws
Bachelor of Arts and Bachelor of Archaeology,Double Degree,D000402,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-arts-and-bachelor-of-archaeology
Bachelor of Commerce and Bachelor of Planning,Double Degree,D000810,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-commerce-and-bachelor-of-planning
Bachelor of Environment and Bachelor of Music,Double Degree,D000794,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-environment-and-bachelor-of-music
Major in Web and Mobile App Development,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/web-and-mobile-app-development
Major in Software Technology,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/software-technology
Major in Astronomy and Astrophysics,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/astronomy-and-astrophysics
Major in Public Relations and Social Media,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/public-relations-and-social-media
Bachelor of Cognitive and Brain Sciences and Bachelor of Laws,Double Degree,D000680,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-cognitive-and-brain-sciences-and-bachelor-of-laws
Major in Physics,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/physics
Master of Finance,Course,C000194,https://www.mq.edu.au/study/find-a-course/courses/master-of-finance
Major in Human Biology,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/human-biology
Major in Music Studies,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/music-studies
Master of Public Health,Course,C000170,https://www.mq.edu.au/study/find-a-course/courses/master-of-public-health
Doctor of Medicine,Course,C000076,https://www.mq.edu.au/study/find-a-course/courses/doctor-of-medicine
Master of Marketing,Course,C000049,https://www.mq.edu.au/study/find-a-course/courses/master-of-marketing
Master of Commerce,Course,C000121,https://www.mq.edu.au/study/find-a-course/courses/master-of-commerce
Major in Politics,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/politics
Major in Applied Ethics,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/applied-ethics
Master of Environment,Course,C000023,https://www.mq.edu.au/study/find-a-course/courses/master-of-environment
Master of Management,Course,C000097,https://www.mq.edu.au/study/find-a-course/courses/master-of-management
Bachelor of Marketing and Media,Course,C000021,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-marketing-and-media
Bachelor of Commerce,Course,C000130,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-commerce
Major in Cyber Security,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/cyber-security
Major in Gender Studies,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/gender-studies
Major in German Studies,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/german-studies
Major in Human Movement,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/human-movement
Major in Modern History,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/modern-history
Master of Education,Course,C000141,https://www.mq.edu.au/study/find-a-course/courses/master-of-education
Bachelor of Arts,Course,C000004,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-arts
Bachelor of Music and Bachelor of Laws,Double Degree,D000685,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-music-and-bachelor-of-laws
Major in Ancient History,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/ancient-history
Doctor of Physiotherapy,Course,C000077,https://www.mq.edu.au/study/find-a-course/courses/doctor-of-physiotherapy
Intensive Program,Course,C000150,https://www.mq.edu.au/study/find-a-course/courses/intensive-program
Bachelor of Cyber Security,Course,C000102,https://www.mq.edu.au/study/find-a-course/courses/bachelor-of-cyber-security
Master of Teaching (Primary),Course,C000190,https://www.mq.edu.au/study/find-a-course/courses/master-of-teaching-primary
Master of Teaching (Birth to Five Years),Course,C000143,https://www.mq.edu.au/study/find-a-course/courses/master-of-teaching-birth-to-five-years
Major in Chemistry,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/chemistry
Major in Economics,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/economics
Major in Education,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/education
Major in Geography,Majors and Specialisations,N/A,https://www.mq.edu.au/study/find-a-course/courses/major/geography
