unit_code,year,unit_period,description,handbook_url,unit_rules,assessments,has_final_exam,unit_name
COMP6110,2024,['Session 1 - In person-scheduled-weekday'],"This unit covers a range of techniques and concepts that are relevant to implementing systems on the world wide web. From web site development using HyperText Markup Language (HTML) and eXtensible Markup Language (XML), through to complete client-server applications, the unit explores the full spectrum of this technology, providing insight into the standards underlying the web and the programming techniques used to exploit these standards to build web applications.",https://coursehandbook.mq.edu.au/2024/units/COMP6110/,"{'prerequisite': ['COMP6010'], 'NCCW (pre-2020 units)': ['ITEC649, COMP249']}","{'Web Development Project': {'assessment_type': 'Project', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>In this project you will develop a web application and deploy it to the internet. The project will involve design, programming and devops activities and will be carried out in a group with some individually assessable components.</p>'}, 'Module Examinations': {'assessment_type': 'Examination', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>Each of the four modules in the unit will have an in-class assessment during the workshops.</p>'}, 'Exam': {'assessment_type': 'Examination', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>The final exam will asses your ability to describe and explain the technologies we have covered in the unit. It will cover all of the material in the unit including aspects of the Web Development Project.</p>'}, 'Workshop Tasks': {'assessment_type': 'Practice-based task', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>Each week there will be a task set during the practical workshop that needs to be completed in person, with work shown to teaching staff to be confirmed completed. Each task will contribute 1 mark, up to a total of 10 marks.</p>'}}",False,Web Technology
STAT6102,2024,"['Session 2 - In person-scheduled-weekday', 'Session 2 - Online-scheduled-weekday']","<p>This unit introduces statistical tools for multivariate data analysis such as statistical graphics, discriminant analysis, principal component analysis, cluster analysis and an introduction to data mining, especially classification. Statistical packages are used extensively to illustrate the concepts.</p>",https://coursehandbook.mq.edu.au/2024/units/STAT6102/,"{'prerequisite': ['STAT6170 or STAT670'], 'NCCW (pre-2020 units)': ['STAT302, STAT396'], 'corequisite': ['STAT6180 or STAT680'], 'Co-badge': ['STAT3102']}","{'Mid-Semester Test': {'assessment_type': 'Quiz/Test', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>Further\xa0information\xa0will\xa0be\xa0provided\xa0in\xa0the\xa0iLearn\xa0site\xa0of\xa0the\xa0unit.</p>'}, 'Practical Test': {'assessment_type': 'Quiz/Test', 'assessment_weight': '60', 'assessment_hurdle': 'No', 'assessment_description': '<p>This is an open book style online exam. The practical test is designed to examine the use of software for data analysis and the software output interpretation skills taught in the unit.</p>'}, 'SGTA Works': {'assessment_type': 'Qualitative analysis task', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>The tasks given during four SGTA computer lab sessions are to be completed within the allocated time and submitted via iLearn. The four SGTA Works are worth 10% in total.</p>'}, 'Mid-Semester test': {'assessment_type': 'Quiz/Test', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>Further\xa0information for this online test will\xa0be\xa0provided\xa0in\xa0the\xa0iLearn\xa0site\xa0of\xa0the\xa0unit.</p>'}}",False,"Graphics, Multivariate Methods and Data Mining"
COMP6770,2024,['Session 1 - In person-scheduled-weekday'],"This unit aims to provide an understanding of how information technology systems and projects can be efficiently managed. This unit includes detailed study of techniques for planning, tracking and measuring software projects. Issues covered include: quality evaluation; estimation measurement techniques; and project risk planning and management. The unit provides a sound grounding in how projects can be managed in regards to quality assurance and risk assessment. The unit also covers issues in the management of IT systems, including: change management; configuration management and planning; people management; hardware asset management; and capacity planning and availability.",https://coursehandbook.mq.edu.au/2024/units/COMP6770/,"{'NCCW (pre-2020 units)': ['ITEC602', 'ISYS302'], 'Co-badge': ['COMP3770']}","{'Assignment 1': {'assessment_type': 'Literature review', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>A literature review on an area of IT Project Management.</p>'}, 'Final examination': {'assessment_type': 'Examination', 'assessment_weight': '50', 'assessment_hurdle': 'No', 'assessment_description': '<p>A final examination will cover all lecture, reference and SGTA material.</p>'}, 'Assignment 2': {'assessment_type': 'Modelling task', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>A briefing on a contemporary IT project is given. The assignment involves planning the project with the assistance of MS Project and then providing a succinct Project Management Plan which includes the Gantt Chart, Network Diagram, Resource Allocation and addresses scope, objectives, success metrics, controls and risk management.</p>'}, 'Assignment 3': {'assessment_type': 'Project', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>Extensive background information is available for a failed system. Groups of 4 students will work on a new project plan outlining the context and business benefits and consider a more flexible project process model and formulate an effective risk management plan. A comprehensive report is required.</p>'}}",True,Management of IT Systems and Projects
STAT6170,2024,"['Session 1 - Online-scheduled-weekday', 'Session 2 - Online-scheduled-weekday']","This unit provides a broad introduction to statistical concepts and data analysis techniques, providing basic statistical knowledge. The unit is concerned with the development of an understanding of statistical practice and is illustrated by a study of those techniques most commonly used in the sciences, social sciences and humanities. The aim of statistical practice is to make the scientific research process efficient; for this reason statistics is used in disciplines ranging from accountancy to zoology. Topics covered in this unit include: data collection methods; data quality; data summarisation; and statistical models like the normal distribution, followed by sampling distributions and statistical inferences about means, proportions and quantiles. Also studied are methods of analysis relating to comparisons, counted data and relationships, including regression and correlation. Statistical computer packages are used for handling and analysing data along with word processing for reporting the results. However, no prior computing knowledge is assumed.",https://coursehandbook.mq.edu.au/2024/units/STAT6170/,{'NCCW (pre-2020 units)': ['STAT670']},"{'Module tests': {'assessment_type': 'Quiz/Test', 'assessment_weight': '75', 'assessment_hurdle': 'Yes', 'assessment_description': '<p>This unit consists of modules. At the end of each module there is a Module test, in which the student is required to demonstrate mastery of the material covered in that module.</p>'}, 'Statistical report': {'assessment_type': 'Quantitative analysis task', 'assessment_weight': '25', 'assessment_hurdle': 'No', 'assessment_description': '<p>This assignment will test your ability to interpret research questions, analyse a data set and write a statistical report based on the results of the analyses.</p>'}}",False,Introductory Statistics
COMP6010,2024,"['Session 2 - Online-scheduled-weekday', 'Session 1 - Online-scheduled-weekday', 'Session 2 - In person-scheduled-weekday', 'Session 1 - In person-scheduled-weekday']","<p>This unit provides a foundation-level study of programming. The topics covered include programming environment and the process of program execution, variables, operators, boolean logic, control structures including conditions and loops, functions, storage of collections of items and performing operations on the same, and file management.</p>",https://coursehandbook.mq.edu.au/2024/units/COMP6010/,{'NCCW (pre-2020 units)': ['ITEC625']},"{'Practical Exam 2': {'assessment_type': 'Programming Task', 'assessment_weight': '40', 'assessment_hurdle': 'Yes', 'assessment_description': '<p>Online, invigilated practical exam assessing content covered during the entire session.</p>'}, 'Assignment 1': {'assessment_type': 'Programming Task', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>Programming assignment that requires students to solve a real-life problem based on the contents covered during the semester</p>'}, 'Practical Exam 1': {'assessment_type': 'Programming Task', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>In-class practical exam as the invigilated assessment assessing contents covered during the first half of the session.</p>'}, 'Quizzes': {'assessment_type': 'Quiz/Test', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>Quizzes over the course of 13 weeks in practical classes (exact weeks to be determined based on timetabling and published in the unit guide).</p>'}, 'Assignment 2': {'assessment_type': 'Programming Task', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>Programming assignment that requires students to solve a real-life problem based on the contents covered during the semester</p>'}}",False,Foundations of Computer Programming
COMP6350,2024,['Session 2 - In person-scheduled-weekday'],"This unit provides an in-depth study of modern database technology and its dominant role in developing and maintaining enterprise information systems. The aim is to teach students how to program database applications. The emphasis is placed on business applications, using Structured Query Language (SQL) as an interactive and a programmatic language, on principles of the relational-database model, and on fundamental components of a client-server database-management system. Practical work involves the use of a commercial database-management system together with programming tools.",https://coursehandbook.mq.edu.au/2024/units/COMP6350/,"{'NCCW (pre-2020 units)': ['ITEC624, ISYS224']}","{'Assignment 3': {'assessment_type': 'Programming Task', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<div>\n<div>\n<div>\n<div>\n<p>Assignment 3 will assess students&#39; ability to enhance databases through procedural programming.</p>\n<div>\n<div>\xa0</div>\n</div>\n</div>\n</div>\n</div>\n</div>'}, 'Assignment 1': {'assessment_type': 'Modelling task', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>Assignment 1 will focus on conceptual modelling and logical design of databases.</p>\n<div>\n<div>\xa0</div>\n</div>\n<div>\n<div>\xa0</div>\n</div>'}, ' Online Quizzes': {'assessment_type': 'Quiz/Test', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<div>\n<div>\n<div>\n<div>\n<p>There will be many quizzes over the semester to encourage engagement with and understanding of the material by the students.</p>\n</div>\n</div>\n</div>\n</div>'}, 'Assignment 2': {'assessment_type': 'Design Implementation', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<div>\n<div>\n<div>\n<div>\n<p>Assignment 2 will assess students&#39; ability to implement a relational database as well as querying that database.</p>\n</div>\n</div>\n</div>\n</div>'}, 'Final Examination': {'assessment_type': 'Examination', 'assessment_weight': '50', 'assessment_hurdle': 'No', 'assessment_description': '<div>\n<div>\n<div>\n<div>\n<p>The Final examination will assess students&#39; understanding\xa0of the fundamental concepts behind database management\xa0systems, and their skills in database programming and\xa0development. Students will be able to take the exam remotely.</p>\n</div>\n</div>\n</div>\n</div>'}}",True,Database Systems
COMP6760,2024,"['Session 2 - Online-scheduled-weekday', 'Session 2 - In person-scheduled-weekday']","This unit aims to provide an understanding of how information systems can be integrated into the overall business layer of an organisation. The unit focuses on methods and techniques to enhance the alignment of information systems with business strategy, objectives and processes. Issues covered include: process modelling, corporate modelling, workflow modelling, business process re-engineering, enterprise resource planning, business-to-business integration and supply chain management. Various technical approaches to tackling integration problems are discussed.",https://coursehandbook.mq.edu.au/2024/units/COMP6760/,"{'NCCW (pre-2020 units)': ['ITEC601', 'ISYS301'], 'Co-badge': ['COMP3760']}","{'Assignment 1': {'assessment_type': 'Report', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>A report on eBusiness principles</p>'}, 'Assignment 2': {'assessment_type': 'Design Task', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>Business Process Modelling</p>'}, 'Assignment 3': {'assessment_type': 'Practice-based task', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>Group assignment implementing an eBusiness solution. These will be peer moderated and marks assigned individually within the group. Groups will be self-selecting. If individuals have not allocated themselves to a group within a set time, people will be allocated to a group by the lecturer.</p>'}, 'Exam': {'assessment_type': 'Examination', 'assessment_weight': '50', 'assessment_hurdle': 'No', 'assessment_description': '<p>Examination on potentially all material covered in the unit on campus</p>'}}",False,Enterprise Systems Integration
STAT6180,2024,"['Session 2 - In person-scheduled-weekday', 'Session 1 - Online-scheduled-In person assessment', 'Session 2 - Online-scheduled-In person assessment', 'Session 1 - In person-scheduled-weekday']","<p>This unit aims to extend and broaden statistical experience from STAT6170, with a focus on application to real-world analysis. It covers relationships between categorical or continuous explanatory variables and a continuous response variable using the techniques of one-way and two-way analysis of variance and simple and multiple linear regression. Data management, report writing, graphical presentation of results, and power analysis are described.</p>",https://coursehandbook.mq.edu.au/2024/units/STAT6180/,"{'NCCW (pre-2020 units)': ['STAT680'], 'prerequisite': ['Admission to MAppStat or GradCertAppStat or GradDipAppStat or MSc or MDataSc or MLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MScInnovationStat'], 'corequisite': ['STAT6170 or STAT670']}","{'Assignment': {'assessment_type': 'Quantitative analysis task', 'assessment_weight': '25', 'assessment_hurdle': 'No', 'assessment_description': '<p>The assignment will cover all learning outcomes.</p>'}, 'Mid-Semester Test': {'assessment_type': 'Quiz/Test', 'assessment_weight': '25', 'assessment_hurdle': 'No', 'assessment_description': '<p>Mid-semester Test</p>'}, 'Final Exam': {'assessment_type': 'Examination', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>Formal\xa0invigilated\xa0examination testing the learning outcomes of the unit.</p>'}, 'iLearn Quiz ': {'assessment_type': 'Quiz/Test', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>The quiz will become available on iLearn.</p>'}}",True,Applied Statistics
STAT6110,2024,"['Session 2 - Online-scheduled-In person assessment', 'Session 1 - In person-scheduled-weekday', 'Session 2 - In person-scheduled-weekday', 'Session 1 - Online-scheduled-In person assessment']","This unit introduces the fundamental principles of statistical inference and estimation theory. The unit begins with a discussion of random samples and their use in drawing inferences about a population. A discussion of estimation concepts is then provided, particularly unbiasedness, consistency and efficiency. Likelihood theory is developed, including the concept of sufficiency and the maximum likelihood approach to estimation. Hypothesis testing concepts and methods are discussed with a particular focus on likelihood ratio, score and Wald tests. The relative frequency interpretation of key concepts such as confidence intervals and p-values is emphasised. An introduction to Bayesian inference principles is also provided.",https://coursehandbook.mq.edu.au/2024/units/STAT6110/,"{'NCCW (pre-2020 units)': ['STAT806, STAT810, STAT306'], 'prerequisite': ['((MATH604 or MATH6904 or BCA802 or STAT8602) and (STAT670 or STAT6170) and (STAT680 or STAT6180) and (STAT683 or STAT6183)) or (Admission to MDataSc and (STAT670 or STAT6170) and (STAT680 or STAT6180))'], 'Co-badge': ['STAT8310', 'STAT3110', 'STAT3306']}","{'Class test': {'assessment_type': 'Quiz/Test', 'assessment_weight': '15', 'assessment_hurdle': 'No', 'assessment_description': '<p>Students are required to take a test.</p>'}, 'Assignment 2': {'assessment_type': 'Quantitative analysis task', 'assessment_weight': '25', 'assessment_hurdle': 'No', 'assessment_description': '<p>Students are required to submit their assignments (pdf documents) before the due time. Students will submit their assignments via a link on iLearn.</p>'}, 'Assignment 1': {'assessment_type': 'Quantitative analysis task', 'assessment_weight': '25', 'assessment_hurdle': 'No', 'assessment_description': '<p>Students are required to submit their assignments (pdf documents) before the due time. Students will submit their assignments via a link on iLearn.</p>'}, 'Final Exam': {'assessment_type': 'Examination', 'assessment_weight': '35', 'assessment_hurdle': 'No', 'assessment_description': '<p>Formal\xa0invigilated\xa0examination testing the learning outcomes of the unit.</p>'}}",True,Statistical Inference
COMP6200,2024,"['Session 2 - In person-scheduled-weekday', 'Session 1 - In person-scheduled-weekday']","This unit introduces students to the fundamental techniques and tools of data science, such as the graphical display of data, predictive models, evaluation methodologies, regression, classification and clustering. The unit provides practical experience applying these methods using industry-standard software tools to real-world data sets. Students who have completed this unit will be able to identify which data science methods are most appropriate for a real-world data set, apply these methods to the data set, and interpret the results of the analysis they have performed.",https://coursehandbook.mq.edu.au/2024/units/COMP6200/,"{'NCCW (pre-2020 units)': ['ITEC657, COMP257']}","{'Examinations': {'assessment_type': 'Examination', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>Examinations will assess your knowledge and understanding of the data analysis and machine learning methods covered in the semester.</p>'}, ' Weekly Tasks': {'assessment_type': 'Practice-based task', 'assessment_weight': '10', 'assessment_hurdle': 'Yes', 'assessment_description': '<p>Development of knowledge and skills requires continual practice at authentic problems. During weekly workshops you will practice a range of tasks recording your progress on worksheets. To pass this hurdle assessment, you must be able to demonstrate your progress in developing and communicating knowledge and skills in a minimum of 8 of the 12 weekly workshops.</p>'}, 'Critical Analysis Task': {'assessment_type': 'Report', 'assessment_weight': '15', 'assessment_hurdle': 'No', 'assessment_description': '<p>You will be given a sample notebook describing the analysis of a dataset. You will provide a critical analysis of this notebook and suggest improvements in the way that data is analysed and results are presented.</p>'}, 'Data Science Portfolio': {'assessment_type': 'Portfolio', 'assessment_weight': '35', 'assessment_hurdle': 'No', 'assessment_description': '<p>The portfolio assessment will consist of a number of data analysis problems that you will be given through the semester. These will involve writing code to analyse one or more data sets. These will be marked individually through the semester and then as an overall portfolio at the end of semester.</p>'}}",False,Data Science
