unit_code,unit_name,unitguide_link,unitguide_year
COMP6110,Web Technology,https://unitguides.mq.edu.au/unit_offerings/156358/unit_guide,2023
STAT6102,"Graphics, Multivariate Methods and Data Mining",https://unitguides.mq.edu.au/unit_offerings/159319/unit_guide,2023
COMP6770,Management of IT Systems and Projects,https://unitguides.mq.edu.au/unit_offerings/156400/unit_guide,2023
STAT6170,Introductory Statistics,https://unitguides.mq.edu.au/unit_offerings/159347/unit_guide,2023
COMP6010,Foundations of Computer Programming,https://unitguides.mq.edu.au/unit_offerings/156351/unit_guide,2023
COMP6350,Database Systems,https://unitguides.mq.edu.au/unit_offerings/156393/unit_guide,2023
COMP6760,Enterprise Systems Integration,https://unitguides.mq.edu.au/unit_offerings/156398/unit_guide,2023
STAT6180,Applied Statistics,https://unitguides.mq.edu.au/unit_offerings/159354/unit_guide,2023
STAT6110,Statistical Inference,https://unitguides.mq.edu.au/unit_offerings/159343/unit_guide,2023
COMP6200,Data Science,https://unitguides.mq.edu.au/unit_offerings/153449/unit_guide,2022
STAT6175,Linear Models,https://unitguides.mq.edu.au/unit_offerings/159349/unit_guide,2023
COMP6210,Big Data,https://unitguides.mq.edu.au/unit_offerings/156366/unit_guide,2023
COMP8240,Applications of Data Science,https://unitguides.mq.edu.au/unit_offerings/156417/unit_guide,2023
STAT8150,Bayesian Data Analysis,https://unitguides.mq.edu.au/unit_offerings/159382/unit_guide,2023
COMP8230,Mining Unstructured Data,https://unitguides.mq.edu.au/unit_offerings/156416/unit_guide,2023
STAT8178,Modern Computational Statistical Methods,https://unitguides.mq.edu.au/unit_offerings/159385/unit_guide,2023
STAT8123,Statistical Graphics,https://unitguides.mq.edu.au/unit_offerings/159375/unit_guide,2023
COMP8210,Big Data Technologies,https://unitguides.mq.edu.au/unit_offerings/156413/unit_guide,2023
COMP8851,Major Project,https://unitguides.mq.edu.au/unit_offerings/156433/unit_guide,2023
STAT8111,Generalized Linear Models,https://unitguides.mq.edu.au/unit_offerings/159369/unit_guide,2023
STAT8121,Multivariate Analysis,https://unitguides.mq.edu.au/unit_offerings/159371/unit_guide,2023
LAWS5078,PACE: Clinics and Projects,https://unitguides.mq.edu.au/unit_offerings/157583/unit_guide,2023
LAWS5051,PACE: Individual Placements,https://unitguides.mq.edu.au/unit_offerings/157567/unit_guide,2023
LAWS5000,"Remedies, Reparations and Resolution in Law",https://unitguides.mq.edu.au/unit_offerings/157532/unit_guide,2023
LAWS5056,Succession,https://unitguides.mq.edu.au/unit_offerings/157572/unit_guide,2023
LAWS5018,Indigenous Peoples and the Law,https://unitguides.mq.edu.au/unit_offerings/157544/unit_guide,2023
LAWS5020,Family Law,https://unitguides.mq.edu.au/unit_offerings/157548/unit_guide,2023
LAWS5065,Dispute Management and Resolution,https://unitguides.mq.edu.au/unit_offerings/157577/unit_guide,2023
LAWS5069,Energy and Natural Resources Law,https://unitguides.mq.edu.au/unit_offerings/157579/unit_guide,2023
LAWS5087,Law of Armed Conflict,https://unitguides.mq.edu.au/unit_offerings/157592/unit_guide,2023
LAWS5053,Taxation,https://unitguides.mq.edu.au/unit_offerings/157570/unit_guide,2023
LAWS5071,Health Law and Ethics,https://unitguides.mq.edu.au/unit_offerings/157581/unit_guide,2023
LAWS5910,Research Methodologies in Law,https://unitguides.mq.edu.au/unit_offerings/160067/unit_guide,2023
LAWS5043,Climate Change Law,https://unitguides.mq.edu.au/unit_offerings/157563/unit_guide,2023
LAWS5036,Modern Corporate Governance,https://unitguides.mq.edu.au/unit_offerings/157559/unit_guide,2023
LAWS5010,International Trade Law,https://unitguides.mq.edu.au/unit_offerings/157538/unit_guide,2023
LAWS5021,Foundations of Commercial Law,https://unitguides.mq.edu.au/unit_offerings/157550/unit_guide,2023
LAWS5920,Legal Research Project,https://unitguides.mq.edu.au/unit_offerings/159762/unit_guide,2023
LAWS5080,Human Rights and Moral Dilemmas,https://unitguides.mq.edu.au/unit_offerings/159770/unit_guide,2023
LAWS5028,Competition Law,https://unitguides.mq.edu.au/unit_offerings/157554/unit_guide,2023
LAWS5079,Refugees and Migration,https://unitguides.mq.edu.au/unit_offerings/157585/unit_guide,2023
LAWS5057,International Private Law,https://unitguides.mq.edu.au/unit_offerings/157574/unit_guide,2023
LAWS5007,Employment and Labour Law ,https://unitguides.mq.edu.au/unit_offerings/157537/unit_guide,2023
LAWS5302,International Law Exchange 2,https://unitguides.mq.edu.au/unit_offerings/124266/unit_guide,2020
LAWS5040,Environmental Planning Law,https://unitguides.mq.edu.au/unit_offerings/157562/unit_guide,2023
LAWS5084,Media Law,https://unitguides.mq.edu.au/unit_offerings/157587/unit_guide,2023
LAWS5023,Intellectual Property Law,https://unitguides.mq.edu.au/unit_offerings/157553/unit_guide,2023
LAWS5304,International Law Exchange 4,https://unitguides.mq.edu.au/unit_offerings/124051/unit_guide,2020
LAWS5301,International Law Exchange 1,https://unitguides.mq.edu.au/unit_offerings/124177/unit_guide,2020
LAWS5086,Law of the Sea,https://unitguides.mq.edu.au/unit_offerings/157590/unit_guide,2023
LAWS5060,Environmental Law,https://unitguides.mq.edu.au/unit_offerings/157576/unit_guide,2023
LAWS5005,Age and the Law ,https://unitguides.mq.edu.au/unit_offerings/166628/unit_guide,2024
LAWS5012,Banking and Finance Law ,https://unitguides.mq.edu.au/unit_offerings/157543/unit_guide,2023
LAWS5011,Discrimination and the Law,https://unitguides.mq.edu.au/unit_offerings/157540/unit_guide,2023
LAWS5019,International Human Rights Law,https://unitguides.mq.edu.au/unit_offerings/157546/unit_guide,2023
LAWS5029,Law and Technology,https://unitguides.mq.edu.au/unit_offerings/157556/unit_guide,2023
LAWS5048,Animal Law,https://unitguides.mq.edu.au/unit_offerings/157565/unit_guide,2023
LAWS5303,International Law Exchange 3,https://unitguides.mq.edu.au/unit_offerings/124049/unit_guide,2020
LAWS1100,"Law, Lawyers and Society",https://unitguides.mq.edu.au/unit_offerings/157494/unit_guide,2023
LAWS2400,Torts,https://unitguides.mq.edu.au/unit_offerings/157518/unit_guide,2023
LAWS3400,Evidence,https://unitguides.mq.edu.au/unit_offerings/157528/unit_guide,2023
LAWS3000,Constitutional Law,https://unitguides.mq.edu.au/unit_offerings/157523/unit_guide,2023
LAWS2000,International Law,https://unitguides.mq.edu.au/unit_offerings/157506/unit_guide,2023
LAWS2200,Property Law,https://unitguides.mq.edu.au/unit_offerings/157514/unit_guide,2023
LAWS2100,Jurisprudence,https://unitguides.mq.edu.au/unit_offerings/157513/unit_guide,2023
LAWS3200,Civil and Criminal Procedure,https://unitguides.mq.edu.au/unit_offerings/157524/unit_guide,2023
LAWS1300,Criminal Justice,https://unitguides.mq.edu.au/unit_offerings/157500/unit_guide,2023
LAWS1000,Foundations of Law,https://unitguides.mq.edu.au/unit_offerings/157486/unit_guide,2023
LAWS1200,Contracts,https://unitguides.mq.edu.au/unit_offerings/157498/unit_guide,2023
LAWS3300,Administrative Law,https://unitguides.mq.edu.au/unit_offerings/157527/unit_guide,2023
LAWS2500,Equity and Trusts,https://unitguides.mq.edu.au/unit_offerings/157520/unit_guide,2023
LAWS2300,Business Organisations,https://unitguides.mq.edu.au/unit_offerings/157517/unit_guide,2023
LAWS8018,Research Methodologies in Law,https://unitguides.mq.edu.au/unit_offerings/157643/unit_guide,2023
LAWS8019,Dispute Resolution Processes and Law,https://unitguides.mq.edu.au/unit_offerings/157646/unit_guide,2023
LAWS8023,Commercial Law,https://unitguides.mq.edu.au/unit_offerings/157651/unit_guide,2023
LAWS8055,Environmental Law and Sustainable Development,https://unitguides.mq.edu.au/unit_offerings/157669/unit_guide,2023
LAWS8061,Environmental Planning Law,https://unitguides.mq.edu.au/unit_offerings/157672/unit_guide,2023
LAWS8021,Health Law,https://unitguides.mq.edu.au/unit_offerings/160481/unit_guide,2023
LAWS8020,Competition Law,https://unitguides.mq.edu.au/unit_offerings/157648/unit_guide,2023
LAWS8092,Law of the Sea,https://unitguides.mq.edu.au/unit_offerings/157683/unit_guide,2023
LAWS8087,International Human Rights Law,https://unitguides.mq.edu.au/unit_offerings/157680/unit_guide,2023
LAWS8051,Climate Change Law,https://unitguides.mq.edu.au/unit_offerings/157667/unit_guide,2023
LAWS8029,Succession,https://unitguides.mq.edu.au/unit_offerings/152335/unit_guide,2022
LAWS8052,Trade and Environment Law,https://unitguides.mq.edu.au/unit_offerings/157668/unit_guide,2023
LAWS8066,Indigenous Peoples and the Law,https://unitguides.mq.edu.au/unit_offerings/157674/unit_guide,2023
LAWS8050,Corporate Governance Law ,https://unitguides.mq.edu.au/unit_offerings/157666/unit_guide,2023
LAWS8098,International Commercial Law,https://unitguides.mq.edu.au/unit_offerings/157686/unit_guide,2023
LAWS8060,Energy and Natural Resources Law ,https://unitguides.mq.edu.au/unit_offerings/157671/unit_guide,2023
LAWS8097,Media Law and Culture,https://unitguides.mq.edu.au/unit_offerings/157685/unit_guide,2023
LAWS8068,Law and Technology ,https://unitguides.mq.edu.au/unit_offerings/157675/unit_guide,2023
LAWS8094,Human Rights and Moral Dilemmas,https://unitguides.mq.edu.au/unit_offerings/159772/unit_guide,2023
LAWS8037,Refugees and Migration Law,https://unitguides.mq.edu.au/unit_offerings/157663/unit_guide,2023
LAWS8026,Anti-Discrimination Law,https://unitguides.mq.edu.au/unit_offerings/152255/unit_guide,2022
LAWS8022,Family Law,https://unitguides.mq.edu.au/unit_offerings/157649/unit_guide,2023
LAWS8089,International Trade Law,https://unitguides.mq.edu.au/unit_offerings/157682/unit_guide,2023
LAWS8024,Intellectual Property Law,https://unitguides.mq.edu.au/unit_offerings/157652/unit_guide,2023
GEOP8075,"Planning, Principles and Places",https://unitguides.mq.edu.au/unit_offerings/157228/unit_guide,2023
GEOP8020,"Healthy Places: Planning for Diversity, Equity and Wellbeing",https://unitguides.mq.edu.au/unit_offerings/157221/unit_guide,2023
GEOP8030,Smart Urbanism,https://unitguides.mq.edu.au/unit_offerings/157222/unit_guide,2023
GEOP8090,Gateway to the Planning Profession,https://unitguides.mq.edu.au/unit_offerings/157231/unit_guide,2023
GEOP8070,Decolonising Planning,https://unitguides.mq.edu.au/unit_offerings/157227/unit_guide,2023
GEOP8010,Social Impact Assessment,https://unitguides.mq.edu.au/unit_offerings/157218/unit_guide,2023
GEOP8040,"Climate Change and Society: Vulnerability, Adaptation and Transitions",https://unitguides.mq.edu.au/unit_offerings/157224/unit_guide,2023
GEOP6070,"Urban Dynamics: Population, Housing and Regeneration",https://unitguides.mq.edu.au/unit_offerings/157211/unit_guide,2023
GEOP6040,Cities of the Global South,https://unitguides.mq.edu.au/unit_offerings/157207/unit_guide,2023
GEOP6050,Environment and Society,https://unitguides.mq.edu.au/unit_offerings/157209/unit_guide,2023
GEOP6080,Theory and Methods in Geography and Planning,https://unitguides.mq.edu.au/unit_offerings/157213/unit_guide,2023
COMP3210,Big Data,https://unitguides.mq.edu.au/unit_offerings/156326/unit_guide,2023
COMP2350,Database Systems,https://unitguides.mq.edu.au/unit_offerings/156313/unit_guide,2023
COMP1010,Fundamentals of Computer Science,https://unitguides.mq.edu.au/unit_offerings/156281/unit_guide,2023
COMP2200,Data Science,https://unitguides.mq.edu.au/unit_offerings/156300/unit_guide,2023
STAT1371,Statistical Data Analysis,https://unitguides.mq.edu.au/unit_offerings/159315/unit_guide,2023
STAT1170,Introductory Statistics,https://unitguides.mq.edu.au/unit_offerings/159323/unit_guide,2023
STAT3102,"Graphics, Multivariate Methods and Data Mining",https://unitguides.mq.edu.au/unit_offerings/159318/unit_guide,2023
STAT3110,Statistical Inference,https://unitguides.mq.edu.au/unit_offerings/161002/unit_guide,2023
STAT2170,Applied Statistics,https://unitguides.mq.edu.au/unit_offerings/159331/unit_guide,2023
STAT2371,Statistics,https://unitguides.mq.edu.au/unit_offerings/159317/unit_guide,2023
COMP3420,Artificial Intelligence for Text and Vision,https://unitguides.mq.edu.au/unit_offerings/154562/unit_guide,2023
STAT3175,Linear Models,https://unitguides.mq.edu.au/unit_offerings/160992/unit_guide,2023
FOSE3000,Making Science Work for You and Society: Capstone,https://unitguides.mq.edu.au/unit_offerings/156895/unit_guide,2023
FOSE1005,Mathematical Concepts for Science,https://unitguides.mq.edu.au/unit_offerings/157104/unit_guide,2023
FOSE1015,Statistical Concepts for Science,https://unitguides.mq.edu.au/unit_offerings/157106/unit_guide,2023
FOSE1025,Scientific Computing,https://unitguides.mq.edu.au/unit_offerings/157111/unit_guide,2023
EESC3000,PACE: In Earth and Environmental Sciences,https://unitguides.mq.edu.au/unit_offerings/156870/unit_guide,2023
MOLS3002,PACE: Engaging the Community in Science,https://unitguides.mq.edu.au/unit_offerings/158455/unit_guide,2023
MATH3599,PACE: Professional Practice for Mathematical Sciences,https://unitguides.mq.edu.au/unit_offerings/157748/unit_guide,2023
MOLS3003,PACE: Molecular Sciences Project,https://unitguides.mq.edu.au/unit_offerings/158457/unit_guide,2023
PHYS3810,PACE: Professional Experience in Physics and Astronomy,https://unitguides.mq.edu.au/unit_offerings/158658/unit_guide,2023
PSYU3399,PACE: Psychological Science: Putting Theory into Practice,https://unitguides.mq.edu.au/unit_offerings/159129/unit_guide,2023
BIOL3640,PACE: Experience in Biological Sciences,https://unitguides.mq.edu.au/unit_offerings/156017/unit_guide,2023
MMCC3000,Music Production: The Recording Studio,https://unitguides.mq.edu.au/unit_offerings/158351/unit_guide,2023
MMCC3130,"Music, Sound, and Moving Image",https://unitguides.mq.edu.au/unit_offerings/158393/unit_guide,2023
MMCC1045,The Creative Musician,https://unitguides.mq.edu.au/unit_offerings/158289/unit_guide,2023
MMCC2020,Music Production: The Virtual Studio,https://unitguides.mq.edu.au/unit_offerings/158309/unit_guide,2023
MMCC2063,"Vocal Studies: Song, Composition & Arranging ",https://unitguides.mq.edu.au/unit_offerings/158325/unit_guide,2023
MMCC3060,Music Projects and Audience Engagement,https://unitguides.mq.edu.au/unit_offerings/158384/unit_guide,2023
MMCC3032,Music at the Limits: Experimentation and Innovation,https://unitguides.mq.edu.au/unit_offerings/158372/unit_guide,2023
MMCC2033,Music Production: Audio Recording and Mixing,https://unitguides.mq.edu.au/unit_offerings/158314/unit_guide,2023
MMCC1020,"Passion, Rebellion, & Identity in Music ",https://unitguides.mq.edu.au/unit_offerings/158274/unit_guide,2023
MMCC3043,Vocal Studies: The Singer,https://unitguides.mq.edu.au/unit_offerings/158377/unit_guide,2023
MMCC1030,Music in a Global Context,https://unitguides.mq.edu.au/unit_offerings/158278/unit_guide,2023
MMCC3160,PACE: Arts Management Internship,https://unitguides.mq.edu.au/unit_offerings/158402/unit_guide,2023
MMCC2057,Vocal Studies: The Voice,https://unitguides.mq.edu.au/unit_offerings/158318/unit_guide,2023
MMCC2000,Musical Authorship and Songwriting,https://unitguides.mq.edu.au/unit_offerings/158295/unit_guide,2023
MMCC2090,The Music Business,https://unitguides.mq.edu.au/unit_offerings/158333/unit_guide,2023
MMCC1012,Music Literacies,https://unitguides.mq.edu.au/unit_offerings/158270/unit_guide,2023
BIOL3310,Invertebrate Biology and Behaviour,https://unitguides.mq.edu.au/unit_offerings/135974/unit_guide,2021
BIOL2210,Life Processes,https://unitguides.mq.edu.au/unit_offerings/155984/unit_guide,2023
BIOL3410,Plant Biology,https://unitguides.mq.edu.au/unit_offerings/156007/unit_guide,2023
